"","DISTRICT","BLOCK","HYDROGRAPH.STATION","TYPE.OF.STATION","YEAR","WELL.ID","LATITUDE","LONGITUDE","POSTMONSOON","RFL_TY","TEMP_TY","PCTCROPAREA_LY"
"53901","MIRZAPUR","KON","ANNIRUDDHPUR","P",2015,7234,25.2108333333333,82.5166666666667,10.95,0.784046897032212,307.45691848519,0.89640768588137
"53902","MIRZAPUR","KON","BISUNDASPUR","P",2015,7235,25.2288888888889,82.5022222222222,9.9,0.784046897032212,307.45691848519,0.897907949790795
"53903","MIRZAPUR","KON","CHILHGHAT","W",2015,7236,25.1613930555556,82.5650911111111,15.5,0.80022434031798,307.424289055314,0.536912751677853
"53904","MIRZAPUR","KON","KON BLOCK PIEZO","P",2015,7237,25.2166666666667,82.5333333333333,12.4,0.784046897032212,307.45691848519,0.887123745819397
"53905","MIRZAPUR","KON","MUJEHARA","P",2015,7238,25.2136280555556,82.5517416666667,11.35,0.80022434031798,307.424289055314,0.556866048862679
"53906","MIRZAPUR","KON","RAMPUR","P",2015,7239,25.1854602777778,82.5778730555556,13.25,0.80022434031798,307.424289055314,0.466890192791282
"53907","MIRZAPUR","KON","TILATHI","P",2015,7240,25.1983333333333,82.5219444444444,11.8,0.784046897032212,307.45691848519,0.88766891891892
"53908","MIRZAPUR","LALGANJ","DUBAR KALAN","P",2015,7241,24.9726152777778,82.4107180555556,NA,0.762302317393042,307.045589914625,0.900750625521268
"53909","MIRZAPUR","LALGANJ","LAHANGPUR","W",2015,7242,25.0513888888889,82.45,5.13,0.763670759920962,307.238400182077,0.245599329421626
"53910","MIRZAPUR","LALGANJ","NANDINI","W",2015,7243,24.9269444444444,82.3433333333333,4.2,0.736894157910795,307.187972881359,0.961409395973154
"53911","MIRZAPUR","LALGANJ","PACHOKHAR","W",2015,7244,24.9234116666667,82.3737452777778,NA,0.762484869298498,307.148422057266,0.807370184254607
"53912","MIRZAPUR","LALGANJ","PANDEYPUR","W",2015,7245,24.9913888888889,82.3358333333333,3.55,0.731253164679613,307.121725251004,0.85296574770259
"53913","MIRZAPUR","LALGANJ","TENDUHANI","W",2015,7246,24.9361111111111,82.4072222222222,4.9,0.762484869298498,307.148422057266,0.771739130434783
"53914","MIRZAPUR","LALGANJ","TILON","W",2015,7247,24.9581677777778,82.3038227777778,2.35,0.731253164679613,307.121725251004,0.359060402684563
"53915","MIRZAPUR","MAJHAWA","BHAISA","W",2015,7248,25.2510397222222,82.7028552777778,3.55,0.78034151140926,307.187972881359,0.735171261487051
"53916","MIRZAPUR","MAJHAWA","BANDHAWA","P",2015,7249,25.2111372222222,82.7719508333333,17.7,0.825012380732077,307.510312097715,0.738474434199497
"53917","MIRZAPUR","MAJHAWA","GOBARDHANPUR","P",2015,7250,25.2247222222222,82.7327777777778,18.77,0.813308155892972,307.458896026395,0.776381909547738
